individual	week	kit	KO	Abundance	module_id	group
96	5	mobio	K01902	0.022308383492468	M00009	WT
96	10	qiagen	K01681	0.194175967819932	M00009	WT
96	5	mobio	K01900	0.0571299601883878	M00009	WT
96	10	qiagen	K01677	0.0888361176310469	M00009	WT
96	5	mobio	K01899	0.0188372269928112	M00009	WT
96	10	qiagen	K01678	0.103108694084848	M00009	WT
96	10	qiagen	K01682	0.00528467253666975	M00009	WT
96	10	qiagen	K01676	0.642794014422368	M00009	WT
96	5	mobio	K01903	0.035254051628101	M00009	WT
96	8	qiagen	K01899	0.00629464949323501	M00009	WT
96	8	qiagen	K01900	0.0167255848996454	M00009	WT
96	8	qiagen	K01902	0.0106175226556924	M00009	WT
90	13	mobio	K13247	0.00267685926658331	M00014	WT
96	8	qiagen	K01903	0.0111744925160039	M00009	WT
96	8	qiagen	K01647	0.332232130620592	M00009	WT
96	8	qiagen	K01678	0.340115755236521	M00009	WT
96	8	qiagen	K01679	0.0770699195133204	M00009	WT
96	8	qiagen	K01681	0.367639200540282	M00009	WT
96	8	qiagen	K01682	0.0478405434488195	M00009	WT
96	8	qiagen	K01676	0.333439782800453	M00009	WT
96	8	qiagen	K01677	0.367885039547373	M00009	WT
90	12	qiagen	K13247	0.000176948106806847	M00014	WT
96	6	qiagen	K01900	0.0339035313565368	M00009	WT
96	6	qiagen	K01902	0.0417561893839797	M00009	WT
96	6	qiagen	K01899	0.0141961804064129	M00009	WT
96	6	qiagen	K01903	0.037278131168196	M00009	WT
96	5	mobio	K02195	0.0350475850401644	M00259	WT
90	8	qiagen	K12447	7.05725145779242e-05	M00014	WT
96	5	mobio	K02194	0.038006362970457	M00259	WT
96	5	mobio	K02193	0.049837770238328	M00259	WT
96	12	qiagen	K01899	0.00484010157153883	M00009	WT
96	12	qiagen	K01900	0.015474308909812	M00009	WT
96	12	qiagen	K01902	0.00965428057589068	M00009	WT
96	12	qiagen	K01903	0.00969937947107469	M00009	WT
96	8	qiagen	K02193	0.0427601560454492	M00259	WT
96	8	qiagen	K02194	0.0205593225611457	M00259	WT
96	8	qiagen	K02195	0.036103353107728	M00259	WT
96	12	qiagen	K01647	0.445702732220634	M00009	WT
96	12	qiagen	K01677	0.506836757047104	M00009	WT
96	12	qiagen	K01678	0.520105584020277	M00009	WT
96	12	qiagen	K01679	0.0616769846228089	M00009	WT
96	12	qiagen	K01681	0.465698631189396	M00009	WT
96	12	qiagen	K01682	0.0900097882001004	M00009	WT
96	12	qiagen	K01676	0.211086868494805	M00009	WT
90	6	qiagen	K12447	4.38641996558123e-05	M00014	WT
96	10	qiagen	K01899	0.00102672040386626	M00009	WT
96	10	qiagen	K01900	0.00133827305522996	M00009	WT
96	10	qiagen	K01902	0.0199926778428452	M00009	WT
96	10	qiagen	K01903	0.0178963122968353	M00009	WT
96	6	qiagen	K02194	0.0297312480322218	M00259	WT
96	6	qiagen	K02195	0.0435059162603273	M00259	WT
96	6	qiagen	K02193	0.0432468748305346	M00259	WT
90	12	qiagen	K12447	0.000231381690095826	M00014	WT
90	4	qiagen	K13247	0.000233247851924255	M00014	WT
96	12	qiagen	K02193	0.0349900490185668	M00259	WT
96	12	qiagen	K02194	0.0102229783730923	M00259	WT
96	12	qiagen	K02195	0.0201089430273835	M00259	WT
90	5	mobio	K13247	0.0016193465766442	M00014	WT
96	4	qiagen	K04057	0.00179855506780601	M00332	WT
96	4	qiagen	K04058	0.00289410482860923	M00332	WT
96	4	qiagen	K04059	0.0032826509699041	M00332	WT
96	10	qiagen	K02193	0.0255164699058248	M00259	WT
96	10	qiagen	K02194	0.0165641898288253	M00259	WT
96	10	qiagen	K02195	0.0364115878023039	M00259	WT
96	13	mobio	K03230	0.00190042610843608	M00332	WT
96	13	mobio	K03331	0.00358662740277991	M00014	WT
96	13	mobio	K03221	0.00108943183108372	M00332	WT
96	13	mobio	K03219	0.000304344086225774	M00332	WT
96	13	mobio	K03229	0.000812633406704428	M00332	WT
96	13	mobio	K03228	0.00129079901969426	M00332	WT
96	13	mobio	K03226	0.000234268580984375	M00332	WT
96	13	mobio	K03225	0.00332466846087699	M00332	WT
96	13	mobio	K03224	0.00122029147702221	M00332	WT
96	13	mobio	K03223	0.00166655663044278	M00332	WT
96	13	mobio	K03222	0.00304140441152688	M00332	WT
96	4	qiagen	K03331	0.00638030556623567	M00014	WT
96	8	qiagen	K03219	0.000540082290720731	M00332	WT
96	8	qiagen	K03223	0.00512624952298717	M00332	WT
96	8	qiagen	K03222	0.00357362392287695	M00332	WT
96	8	qiagen	K03221	0.000719860209126804	M00332	WT
96	8	qiagen	K03227	0.000838999863893139	M00332	WT
96	8	qiagen	K03226	0.000894381874024676	M00332	WT
96	8	qiagen	K03225	0.0213876204998458	M00332	WT
96	8	qiagen	K03224	0.00215983124504862	M00332	WT
96	6	qiagen	K03331	0.00179871454723073	M00014	WT
96	5	mobio	K03228	0.0138770687395683	M00332	WT
96	5	mobio	K03229	0.00433797776485896	M00332	WT
96	5	mobio	K03230	0.00488440866889139	M00332	WT
90	5	mobio	K12447	0.000100597282803514	M00014	WT
96	5	mobio	K03331	0.00526635354446263	M00014	WT
96	8	qiagen	K03230	0.00420801869589376	M00332	WT
96	8	qiagen	K03229	0.00414758248696969	M00332	WT
96	8	qiagen	K03228	0.00678843529339842	M00332	WT
96	6	qiagen	K03219	0.000396118615307273	M00332	WT
96	6	qiagen	K03223	0.00462511098858575	M00332	WT
96	6	qiagen	K03222	0.00346378074023416	M00332	WT
96	6	qiagen	K03225	0.0582598243693084	M00332	WT
96	6	qiagen	K03224	0.00162896720331054	M00332	WT
96	6	qiagen	K03227	0.00303463636078036	M00332	WT
96	6	qiagen	K03226	0.000447348940641319	M00332	WT
96	5	mobio	K03219	0.00145576555028969	M00332	WT
96	5	mobio	K03222	0.00426574337261089	M00332	WT
96	5	mobio	K03223	0.00743972046138743	M00332	WT
96	5	mobio	K03224	0.00740379403859546	M00332	WT
96	5	mobio	K03225	0.534155490900483	M00332	WT
96	5	mobio	K03226	0.00323254815323519	M00332	WT
96	5	mobio	K03227	0.00164998850760372	M00332	WT
96	6	qiagen	K03229	0.000751992991059054	M00332	WT
96	6	qiagen	K03228	0.00750407831585513	M00332	WT
96	4	qiagen	K03230	0.00646166852237659	M00332	WT
96	6	qiagen	K03230	0.00404144021429803	M00332	WT
96	4	qiagen	K03229	0.00384868760145215	M00332	WT
96	4	qiagen	K03228	0.00207667241824949	M00332	WT
96	4	qiagen	K03227	0.00246376359301483	M00332	WT
96	4	qiagen	K03226	0.00310067276825717	M00332	WT
96	4	qiagen	K03225	0.126834060593172	M00332	WT
96	4	qiagen	K03224	0.00648092841996213	M00332	WT
96	4	qiagen	K03223	0.00308089803709352	M00332	WT
96	4	qiagen	K03222	0.00558576023264443	M00332	WT
96	4	qiagen	K03221	0.00266502695020934	M00332	WT
96	4	qiagen	K03219	0.000806605617628981	M00332	WT
96	12	qiagen	K03226	0.00058955744851362	M00332	WT
96	12	qiagen	K03225	0.0189274981912068	M00332	WT
96	12	qiagen	K03224	0.00459847661658363	M00332	WT
96	12	qiagen	K03223	0.00652022960061942	M00332	WT
96	12	qiagen	K03222	0.00247041695584957	M00332	WT
96	12	qiagen	K03219	0.00155509385038248	M00332	WT
96	10	qiagen	K03331	0.00205933028700182	M00014	WT
96	13	mobio	K04056	0.000377115276706555	M00332	WT
96	13	mobio	K04057	0.000294648109263453	M00332	WT
96	13	mobio	K04058	0.000522109914563758	M00332	WT
84	6	qiagen	K16190	0.000229726293282456	M00014	WT
96	12	qiagen	K03230	0.00568835863108531	M00332	WT
96	12	qiagen	K03229	0.00324068294849366	M00332	WT
96	12	qiagen	K03228	0.00236957257090175	M00332	WT
96	10	qiagen	K03224	0.00141530776477397	M00332	WT
96	10	qiagen	K03223	0.00147410574029091	M00332	WT
96	10	qiagen	K03226	0.000181625424858745	M00332	WT
96	10	qiagen	K03225	0.00100622855081853	M00332	WT
96	10	qiagen	K03219	0.000394242769447336	M00332	WT
96	10	qiagen	K03222	0.0024249890203275	M00332	WT
96	8	qiagen	K03331	0.00326472553621956	M00014	WT
96	10	qiagen	K03228	0.00204331699813449	M00332	WT
96	10	qiagen	K03230	0.00144920979309333	M00332	WT
96	10	qiagen	K03229	0.000767018975138073	M00332	WT
